isbn,title,author,year
9780451216720,Code to Zero,Ken Follett,2000
9780399155820,Black Hills,Nora Roberts,2009
9781250022130,A Great Reckoning,Louise Penny,2016
9780385534800,The Sandcastle Girls,Chris Bohjalian,2012
9780441012690,Furies of Calderon ,Jim Butcher,2004
9780553803720,Foundation and Empire,Isaac Asimov,1952
9780375409290,A Gate at the Stairs,Lorrie Moore,2009
9780061689420,"Love Bites (Vampire Kisses, #7)",Ellen Schreiber,2010
9780446616490,Hour Game,David Baldacci,2004
9780515136810,"Cerulean Sins (Anita Blake, Vampire Hunter, #11)",Laurell K. Hamilton,2003
9780670869400,There Was an Old Lady Who Swallowed a Fly,Simms Taback,1997
9780670070300,On the Jellicoe Road,Melina Marchetta,2006
9780671774680,Mother of Pearl,Melinda Haynes,1999
9780393324820,Stiff: The Curious Lives of Human Cadavers,Mary Roach,2003
9781414310570,The Guardian,Dee Henderson,2001
9780060987530,Confessions of an Ugly Stepsister,Gregory Maguire,1999
9780451229440,Crave,J.R. Ward,2010
9780515132180,The Villa,Nora Roberts,2001
9781402784040,Tiger's Quest,Colleen Houck,2011
9780062491790,Commonwealth,Ann Patchett,2016
9780064410470,So B. It,Sarah Weeks,2004
9780451216950,Dark Lover,J.R. Ward,2005
9780525425630,Isla and the Happily Ever After,Stephanie Perkins,2014
9780007173690,"One Fish, Two Fish, Red Fish, Blue Fish",Dr. Seuss,1960
9780330418360,Lucky,Alice Sebold,1999
9780399163840,X,Sue Grafton,2015
9780316780380,The Weight of Water,Anita Shreve,1997
9780425180970,The Bear and the Dragon,Tom Clancy,2000
9780394541560,Maus: A Survivor's Tale : My Father Bleeds History,Art Spiegelman,1985
9781501135910,Shoe Dog: A Memoir by the Creator of Nike,Phil Knight,2016
9780062290370,The Queen of the Tearling,Erika Johansen,2014
9781401322790,The Time Keeper,Mitch Albom,2012
9780060735420,Practical Demonkeeping,Christopher Moore,1992
9780525950070,World Without End,Ken Follett,2007
9780060773760,A Quick Bite,Lynsay Sands,2005
9780553575420,Luck in the Shadows,Lynn Flewelling,1996
9781423134500,Bloody Valentine,Melissa de la Cruz,2010
9780451452020,Infinity Welcomes Careful Drivers,Grant Naylor,1989
9780345539850,Morning Star,Pierce Brown,2016
9780143035470,The Girls' Guide to Hunting and Fishing,Melissa Bank,1998
9781416936400,"The Uglies Trilogy (Uglies, #1-3)",Scott Westerfeld,2007
9780450524680,The Dark Half,Stephen King,1989
9780062409850,Go Set a Watchman,Harper Lee,2015
9781563127880,The Lottery,Shirley Jackson,1948
9780140233130,The Stone Diaries,Carol Shields,1993
9780061092190,Men at Arms,Terry Pratchett,1993
9781400034210,The Razor's Edge,W. Somerset Maugham,1944
9781400078780,Never Let Me Go,Kazuo Ishiguro,2005
9780553213170,Anne of the Island,L.M. Montgomery,1915
9780812978190,Ragtime,E.L. Doctorow,1974
9782264022450,Paddy Clarke Ha Ha Ha,Roddy Doyle,1993
9780525423270,Anna and the French Kiss,Stephanie Perkins,2010
9780763618990,The Tiger Rising,Kate DiCamillo,2001
9780385315550,Drinking: A Love Story,Caroline Knapp,1996
9780316123360,The Heroes,Joe Abercrombie,2011
9780061869720,Never Have I Ever ,Sara Shepard,2011
9781416914300,City of Ashes,Cassandra Clare,2008
9780062217070,Reboot,Amy Tintera,2013
9780061148510,The Bell Jar,Sylvia Plath,1963
9780062049870,A Week to Be Wicked,Tessa Dare,2012
9780425217290,An Ice Cold Grave,Charlaine Harris,2007
9780553269220,Rilla of Ingleside,L.M. Montgomery,1921
9780140286270,The Deep End of the Ocean,Jacquelyn Mitchard,1996
9780061662690,The Summoning,Kelley Armstrong,2008
9780060837650,Jinx,Meg Cabot,2007
9780553582760,One Door Away from Heaven,Dean Koontz,2001
9781490904380,Dust,Hugh Howey,2013
9781579126280,Evil Under the Sun,Agatha Christie,1941
9780449912550,The Sparrow,Mary Doria Russell,1996
9780064440200,Frog and Toad Are Friends,Arnold Lobel,1970
9780582418270,The Firm,John Grisham,1991
9780553269220,Rainbow Valley,L.M. Montgomery,1919
9780143036470,Smashed: Story of a Drunken Girlhood,Koren Zailckas,2005
9781400069800,Salt Sugar Fat: How the Food Giants Hooked Us ,Michael Moss,2013
9780142500590,Empress of the World,Sara Ryan,2001
9781560768810,Starless Night (Legacy of the Drow #2),R.A. Salvatore,1992
9780679747190,Cities of the Plain ,Cormac McCarthy,1996
9780553296130,Heir to the Empire,Timothy Zahn,1991
9780679734470,Valis,Philip K. Dick,1981
9780441001870,Martin the Warrior,Brian Jacques,1993
9781620401390,The Bone Season,Samantha Shannon,2013
9781937007480,King of Thorns,Mark  Lawrence,2012
9780988573220,Truce,R.L. Mathewson,2013
9781606840570,The Dark Divine,Bree Despain,2009
9780312370150,The Compound,S.A. Bodeen,2008
9780441008650,Spindle's End,Robin McKinley,2000
9780440416790,Harriet the Spy,Louise Fitzhugh,1964
9780547330790,The Hand That First Held Mine,Maggie O'Farrell,2009
9780743484860,As You Like It,William Shakespeare,1599
9780553381670,The Clan of the Cave Bear,Jean M. Auel,1980
9780316225940,The Burning Room,Michael Connelly,2014
